"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"MMR","8542","WLD",2016,5,651.732,"Myanmar"," World","Import",,0,"N.Q."
"MMR","9401","CHN",2015,5,3093.738,"Myanmar","China","Import",1150609,0,"N.Q."
"MMR","9401","CHN",2015,6,3615.789,"Myanmar","China","Export",316570,384519.401,"Item"
"MMR","9401","CHN",2016,5,3670.517,"Myanmar","China","Import",1308606,0,"N.Q."
"MMR","9401","CHN",2016,6,2489.781,"Myanmar","China","Export",221112,94542.13,"Item"
"MMR","9401","USA",2015,5,8.416,"Myanmar","United States","Import",1237,180,"Item"
"MMR","9401","USA",2015,6,296.173,"Myanmar","United States","Export",25930,3250,"Item"
"MMR","9401","USA",2016,5,0.888,"Myanmar","United States","Import",1032,0,"N.Q."
"MMR","9401","USA",2016,6,64.702,"Myanmar","United States","Export",5746,670,"Item"
"MMR","9401","WLD",2015,5,6264.056,"Myanmar"," World","Import",2322016,0,"N.Q."
"MMR","9401","WLD",2015,6,5009.627,"Myanmar"," World","Export",463159,0,"N.Q."
"MMR","9401","WLD",2016,5,5862.541,"Myanmar"," World","Import",2047797,0,"N.Q."
"MMR","9401","WLD",2016,6,4742.807,"Myanmar"," World","Export",442406,0,"N.Q."
"MMR","9403","CHN",2015,5,16010.952,"Myanmar","China","Import",10248598,0,"N.Q."
"MMR","9403","CHN",2015,6,144.241,"Myanmar","China","Export",37301,8723.362,"Item"
"MMR","9403","CHN",2016,5,21541.916,"Myanmar","China","Import",13511811,0,"N.Q."
"MMR","9403","CHN",2016,6,18.461,"Myanmar","China","Export",3489,0,"N.Q."
"MMR","9403","USA",2015,5,95.139,"Myanmar","United States","Import",36818,0,"N.Q."
"MMR","9403","USA",2015,6,442.129,"Myanmar","United States","Export",422873,0,"N.Q."
"MMR","9403","USA",2016,5,333.535,"Myanmar","United States","Import",73216,0,"N.Q."
"MMR","9403","USA",2016,6,494.222,"Myanmar","United States","Export",101907,0,"N.Q."
"MMR","9403","WLD",2015,5,29035.055,"Myanmar"," World","Import",16560885,0,"N.Q."
"MMR","9403","WLD",2015,6,2500.881,"Myanmar"," World","Export",1223825,0,"N.Q."
"MMR","9403","WLD",2016,5,38734.958,"Myanmar"," World","Import",19870342,0,"N.Q."
"MMR","9403","WLD",2016,6,2335.742,"Myanmar"," World","Export",800473,0,"N.Q."
"MYS","3923","CHN",2015,5,107699.48,"Malaysia","China","Import",24676309,24676309,"Kg"
"MYS","3923","CHN",2015,6,14253.666,"Malaysia","China","Export",4984965,4984965,"Kg"
"MYS","3923","CHN",2016,5,120649.784,"Malaysia","China","Import",163779283,163779283,"Kg"
"MYS","3923","CHN",2016,6,17653.613,"Malaysia","China","Export",4654175,4654175,"Kg"
"MYS","3923","USA",2015,5,26679.368,"Malaysia","United States","Import",2470713,2470713,"Kg"
"MYS","3923","USA",2015,6,131443.02,"Malaysia","United States","Export",67820170,67820170,"Kg"
