"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"ASEAN","tradecircum12","CHN",2015,3,1417.51,"Asia Tenggara --- ASEAN  ","China","Re-Export",,,
"ASEAN","tradecircum12","CHN",2015,4,2434.728,"Asia Tenggara --- ASEAN  ","China","Re-Import",,,
"ASEAN","tradecircum12","CHN",2015,5,50788588.679,"Asia Tenggara --- ASEAN  ","China","Import",,,
"ASEAN","tradecircum12","CHN",2015,6,34235699.058,"Asia Tenggara --- ASEAN  ","China","Export",,,
"ASEAN","tradecircum12","CHN",2016,3,1447.772,"Asia Tenggara --- ASEAN  ","China","Re-Export",,,
"ASEAN","tradecircum12","CHN",2016,4,1609.191,"Asia Tenggara --- ASEAN  ","China","Re-Import",,,
"ASEAN","tradecircum12","CHN",2016,5,48351781.781,"Asia Tenggara --- ASEAN  ","China","Import",,,
"ASEAN","tradecircum12","CHN",2016,6,30756675.001,"Asia Tenggara --- ASEAN  ","China","Export",,,
"ASEAN","tradecircum12","USA",2015,3,253.246,"Asia Tenggara --- ASEAN  ","United States","Re-Export",,,
"ASEAN","tradecircum12","USA",2015,4,164.183,"Asia Tenggara --- ASEAN  ","United States","Re-Import",,,
"ASEAN","tradecircum12","USA",2015,5,11967169.048,"Asia Tenggara --- ASEAN  ","United States","Import",,,
"ASEAN","tradecircum12","USA",2015,6,29849996.168,"Asia Tenggara --- ASEAN  ","United States","Export",,,
"ASEAN","tradecircum12","USA",2016,3,318.579,"Asia Tenggara --- ASEAN  ","United States","Re-Export",,,
"ASEAN","tradecircum12","USA",2016,4,141.291,"Asia Tenggara --- ASEAN  ","United States","Re-Import",,,
"ASEAN","tradecircum12","USA",2016,5,12473950.44,"Asia Tenggara --- ASEAN  ","United States","Import",,,
"ASEAN","tradecircum12","USA",2016,6,30972074.977,"Asia Tenggara --- ASEAN  ","United States","Export",,,
"ASEAN","tradecircum12","WLD",2015,3,23121.947,"Asia Tenggara --- ASEAN  "," World","Re-Export",,,
"ASEAN","tradecircum12","WLD",2015,4,893815.609,"Asia Tenggara --- ASEAN  "," World","Re-Import",,,
"ASEAN","tradecircum12","WLD",2015,5,179800485.375,"Asia Tenggara --- ASEAN  "," World","Import",,,
"ASEAN","tradecircum12","WLD",2015,6,237883245.147,"Asia Tenggara --- ASEAN  "," World","Export",,,
"ASEAN","tradecircum12","WLD",2016,3,9696.636,"Asia Tenggara --- ASEAN  "," World","Re-Export",,,
"ASEAN","tradecircum12","WLD",2016,4,900412.081,"Asia Tenggara --- ASEAN  "," World","Re-Import",,,
"ASEAN","tradecircum12","WLD",2016,5,181865145.608,"Asia Tenggara --- ASEAN  "," World","Import",,,
"ASEAN","tradecircum12","WLD",2016,6,236561528.141,"Asia Tenggara --- ASEAN  "," World","Export",,,
"BRN","tradecircum12","CHN",2015,5,90238.29,"Brunei","China","Import",,,
"BRN","tradecircum12","CHN",2015,6,138.749,"Brunei","China","Export",,,
"BRN","tradecircum12","CHN",2016,5,65091.939,"Brunei","China","Import",,,
"BRN","tradecircum12","CHN",2016,6,354.969,"Brunei","China","Export",,,
"BRN","tradecircum12","USA",2015,5,19573.265,"Brunei","United States","Import",,,
"BRN","tradecircum12","USA",2015,6,977.449,"Brunei","United States","Export",,,
"BRN","tradecircum12","USA",2016,5,19183.029,"Brunei","United States","Import",,,
"BRN","tradecircum12","USA",2016,6,2171.565,"Brunei","United States","Export",,,
"BRN","tradecircum12","WLD",2015,5,271111.617,"Brunei"," World","Import",,,
"BRN","tradecircum12","WLD",2015,6,17148.791,"Brunei"," World","Export",,,
"BRN","tradecircum12","WLD",2016,5,197499.465,"Brunei"," World","Import",,,
"BRN","tradecircum12","WLD",2016,6,42904.738,"Brunei"," World","Export",,,
"IDN","tradecircum12","CHN",2015,5,5311617.534,"Indonesia","China","Import",,,
"IDN","tradecircum12","CHN",2015,6,138781.804,"Indonesia","China","Export",,,
"IDN","tradecircum12","CHN",2016,5,4947645.606,"Indonesia","China","Import",,,
"IDN","tradecircum12","CHN",2016,6,141028.581,"Indonesia","China","Export",,,
"IDN","tradecircum12","USA",2015,5,394080.113,"Indonesia","United States","Import",,,
"IDN","tradecircum12","USA",2015,6,1568742.66,"Indonesia","United States","Export",,,
"IDN","tradecircum12","USA",2016,5,239059.414,"Indonesia","United States","Import",,,
"IDN","tradecircum12","USA",2016,6,1576466.624,"Indonesia","United States","Export",,,
"IDN","tradecircum12","WLD",2015,4,6326.4,"Indonesia"," World","Re-Import",,,
"IDN","tradecircum12","WLD",2015,5,11479193.452,"Indonesia"," World","Import",,,
"IDN","tradecircum12","WLD",2015,6,6124183.917,"Indonesia"," World","Export",,,
"IDN","tradecircum12","WLD",2016,4,9735.951,"Indonesia"," World","Re-Import",,,
"IDN","tradecircum12","WLD",2016,5,10695662.373,"Indonesia"," World","Import",,,
"IDN","tradecircum12","WLD",2016,6,6384200.813,"Indonesia"," World","Export",,,
"KHM","tradecircum12","CHN",2015,5,149160.458,"Cambodia","China","Import",,,
"KHM","tradecircum12","CHN",2015,6,79695.351,"Cambodia","China","Export",,,
"KHM","tradecircum12","CHN",2016,5,219672.426,"Cambodia","China","Import",,,
"KHM","tradecircum12","CHN",2016,6,120389.55,"Cambodia","China","Export",,,
"KHM","tradecircum12","USA",2015,5,1851.708,"Cambodia","United States","Import",,,
"KHM","tradecircum12","USA",2015,6,357045.316,"Cambodia","United States","Export",,,
"KHM","tradecircum12","USA",2016,5,2607.4,"Cambodia","United States","Import",,,
"KHM","tradecircum12","USA",2016,6,267365.299,"Cambodia","United States","Export",,,
"KHM","tradecircum12","WLD",2015,4,1954.894,"Cambodia"," World","Re-Import",,,
"KHM","tradecircum12","WLD",2015,5,256667.209,"Cambodia"," World","Import",,,
"KHM","tradecircum12","WLD",2015,6,1391482.422,"Cambodia"," World","Export",,,
"KHM","tradecircum12","WLD",2016,5,386623.672,"Cambodia"," World","Import",,,
"KHM","tradecircum12","WLD",2016,6,1616064.104,"Cambodia"," World","Export",,,
"LAO","tradecircum12","CHN",2015,5,158488.533,"Lao PDR","China","Import",,,
"LAO","tradecircum12","CHN",2015,6,3837.754,"Lao PDR","China","Export",,,
"LAO","tradecircum12","CHN",2016,5,92210.824,"Lao PDR","China","Import",,,
"LAO","tradecircum12","CHN",2016,6,1769.818,"Lao PDR","China","Export",,,
"LAO","tradecircum12","USA",2015,5,1277.842,"Lao PDR","United States","Import",,,
"LAO","tradecircum12","USA",2015,6,1986.635,"Lao PDR","United States","Export",,,
"LAO","tradecircum12","USA",2016,5,522.048,"Lao PDR","United States","Import",,,
"LAO","tradecircum12","USA",2016,6,660.9,"Lao PDR","United States","Export",,,
"LAO","tradecircum12","WLD",2015,5,346896.18,"Lao PDR"," World","Import",,,
"LAO","tradecircum12","WLD",2015,6,106812.622,"Lao PDR"," World","Export",,,
"LAO","tradecircum12","WLD",2016,5,238166.261,"Lao PDR"," World","Import",,,
"LAO","tradecircum12","WLD",2016,6,158857.961,"Lao PDR"," World","Export",,,
"MMR","tradecircum12","CHN",2015,5,772605.021,"Myanmar","China","Import",,,
"MMR","tradecircum12","CHN",2015,6,18780.03,"Myanmar","China","Export",,,
"MMR","tradecircum12","CHN",2016,5,596294.235,"Myanmar","China","Import",,,
"MMR","tradecircum12","CHN",2016,6,58753.88,"Myanmar","China","Export",,,
"MMR","tradecircum12","USA",2015,5,7299.421,"Myanmar","United States","Import",,,
"MMR","tradecircum12","USA",2015,6,5403.019,"Myanmar","United States","Export",,,
"MMR","tradecircum12","USA",2016,5,37552.895,"Myanmar","United States","Import",,,
"MMR","tradecircum12","USA",2016,6,22116.129,"Myanmar","United States","Export",,,
"MMR","tradecircum12","WLD",2015,5,1270806.888,"Myanmar"," World","Import",,,
"MMR","tradecircum12","WLD",2015,6,373109.194,"Myanmar"," World","Export",,,
"MMR","tradecircum12","WLD",2016,5,910894.388,"Myanmar"," World","Import",,,
"MMR","tradecircum12","WLD",2016,6,813448.187,"Myanmar"," World","Export",,,
"MYS","tradecircum12","CHN",2015,5,8089682.971,"Malaysia","China","Import",,,
"MYS","tradecircum12","CHN",2015,6,9154194.478,"Malaysia","China","Export",,,
"MYS","tradecircum12","CHN",2016,5,7732674.662,"Malaysia","China","Import",,,
"MYS","tradecircum12","CHN",2016,6,8316170.082,"Malaysia","China","Export",,,
"MYS","tradecircum12","USA",2015,5,5073866.955,"Malaysia","United States","Import",,,
"MYS","tradecircum12","USA",2015,6,5652637.618,"Malaysia","United States","Export",,,
"MYS","tradecircum12","USA",2016,5,4891741.586,"Malaysia","United States","Import",,,
"MYS","tradecircum12","USA",2016,6,5582576.397,"Malaysia","United States","Export",,,
"MYS","tradecircum12","WLD",2015,4,2379.093,"Malaysia"," World","Re-Import",,,
"MYS","tradecircum12","WLD",2015,5,35771668.657,"Malaysia"," World","Import",,,
"MYS","tradecircum12","WLD",2015,6,47153959.482,"Malaysia"," World","Export",,,
"MYS","tradecircum12","WLD",2016,4,8117.337,"Malaysia"," World","Re-Import",,,
"MYS","tradecircum12","WLD",2016,5,35923458.085,"Malaysia"," World","Import",,,
"MYS","tradecircum12","WLD",2016,6,45017509.285,"Malaysia"," World","Export",,,
"SGP","tradecircum12","CHN",2015,5,15858039.42,"Singapore","China","Import",,,
"SGP","tradecircum12","CHN",2015,6,19759036.087,"Singapore","China","Export",,,
"SGP","tradecircum12","CHN",2016,5,14912630.774,"Singapore","China","Import",,,
"SGP","tradecircum12","CHN",2016,6,16105872.717,"Singapore","China","Export",,,
"SGP","tradecircum12","USA",2015,5,3341303.836,"Singapore","United States","Import",,,
"SGP","tradecircum12","USA",2015,6,5376623.357,"Singapore","United States","Export",,,
"SGP","tradecircum12","USA",2016,5,3204137.395,"Singapore","United States","Import",,,
"SGP","tradecircum12","USA",2016,6,5158734.225,"Singapore","United States","Export",,,
"SGP","tradecircum12","WLD",2015,5,73864138.332,"Singapore"," World","Import",,,
"SGP","tradecircum12","WLD",2015,6,100146627.607,"Singapore"," World","Export",,,
"SGP","tradecircum12","WLD",2016,5,73448681.75,"Singapore"," World","Import",,,
"SGP","tradecircum12","WLD",2016,6,94485373.387,"Singapore"," World","Export",,,
"THA","tradecircum12","CHN",2015,3,1417.51,"Thailand","China","Re-Export",,,
"THA","tradecircum12","CHN",2015,4,2434.728,"Thailand","China","Re-Import",,,
"THA","tradecircum12","CHN",2015,5,9302462.235,"Thailand","China","Import",,,
"THA","tradecircum12","CHN",2015,6,2698064.869,"Thailand","China","Export",,,
"THA","tradecircum12","CHN",2016,3,1447.772,"Thailand","China","Re-Export",,,
"THA","tradecircum12","CHN",2016,4,1609.191,"Thailand","China","Re-Import",,,
"THA","tradecircum12","CHN",2016,5,9181310.776,"Thailand","China","Import",,,
"THA","tradecircum12","CHN",2016,6,2565365.406,"Thailand","China","Export",,,
"THA","tradecircum12","USA",2015,3,253.246,"Thailand","United States","Re-Export",,,
"THA","tradecircum12","USA",2015,4,164.183,"Thailand","United States","Re-Import",,,
"THA","tradecircum12","USA",2015,5,1642962.07,"Thailand","United States","Import",,,
"THA","tradecircum12","USA",2015,6,6908422.298,"Thailand","United States","Export",,,
"THA","tradecircum12","USA",2016,3,318.579,"Thailand","United States","Re-Export",,,
"THA","tradecircum12","USA",2016,4,141.291,"Thailand","United States","Re-Import",,,
"THA","tradecircum12","USA",2016,5,1741600.453,"Thailand","United States","Import",,,
"THA","tradecircum12","USA",2016,6,6545879.83,"Thailand","United States","Export",,,
"THA","tradecircum12","WLD",2015,3,23121.947,"Thailand"," World","Re-Export",,,
"THA","tradecircum12","WLD",2015,4,883155.222,"Thailand"," World","Re-Import",,,
"THA","tradecircum12","WLD",2015,5,25122386.021,"Thailand"," World","Import",,,
"THA","tradecircum12","WLD",2015,6,29918125.492,"Thailand"," World","Export",,,
"THA","tradecircum12","WLD",2016,3,9696.636,"Thailand"," World","Re-Export",,,
"THA","tradecircum12","WLD",2016,4,882558.793,"Thailand"," World","Re-Import",,,
"THA","tradecircum12","WLD",2016,5,25140115.09,"Thailand"," World","Import",,,
"THA","tradecircum12","WLD",2016,6,28863598.491,"Thailand"," World","Export",,,
"VNM","tradecircum12","CHN",2015,5,11056294.217,"Vietnam","China","Import",,,
"VNM","tradecircum12","CHN",2015,6,2383169.937,"Vietnam","China","Export",,,
"VNM","tradecircum12","CHN",2016,5,10604250.538,"Vietnam","China","Import",,,
"VNM","tradecircum12","CHN",2016,6,3446969.998,"Vietnam","China","Export",,,
"VNM","tradecircum12","USA",2015,5,1484953.838,"Vietnam","United States","Import",,,
"VNM","tradecircum12","USA",2015,6,9978157.817,"Vietnam","United States","Export",,,
"VNM","tradecircum12","USA",2016,5,2337546.22,"Vietnam","United States","Import",,,
"VNM","tradecircum12","USA",2016,6,11816104.008,"Vietnam","United States","Export",,,
"VNM","tradecircum12","WLD",2015,5,31417617.021,"Vietnam"," World","Import",,,
"VNM","tradecircum12","WLD",2015,6,52651795.62,"Vietnam"," World","Export",,,
