"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","3923","ASEAN",2015,5,84251.977,"China","Asia Tenggara --- ASEAN  ","Import",13067278,13067278,"Kg"
"CHN","3923","ASEAN",2015,6,871451.478,"China","Asia Tenggara --- ASEAN  ","Export",151761392,151761392,"Kg"
"CHN","3923","ASEAN",2016,5,92624.55,"China","Asia Tenggara --- ASEAN  ","Import",23124607,23124607.077,"Kg"
"CHN","3923","ASEAN",2016,6,825209.772,"China","Asia Tenggara --- ASEAN  ","Export",202952810,202952810.005,"Kg"
"CHN","3923","BRN",2015,6,11608.267,"China","Brunei","Export",1286771,1286771,"Kg"
"CHN","3923","BRN",2016,6,2761.713,"China","Brunei","Export",661172,661172.151,"Kg"
"CHN","3923","IDN",2015,5,1640.521,"China","Indonesia","Import",144490,144490,"Kg"
"CHN","3923","IDN",2015,6,71490.323,"China","Indonesia","Export",11970200,11970200,"Kg"
"CHN","3923","IDN",2016,5,1184.759,"China","Indonesia","Import",274350,274350.494,"Kg"
"CHN","3923","IDN",2016,6,71118.811,"China","Indonesia","Export",16251645,16251645.203,"Kg"
"CHN","3923","KHM",2015,5,2.492,"China","Cambodia","Import",615,615,"Kg"
"CHN","3923","KHM",2015,6,10413.618,"China","Cambodia","Export",2227920,2227920,"Kg"
"CHN","3923","KHM",2016,5,15.076,"China","Cambodia","Import",3520,3519.886,"Kg"
"CHN","3923","KHM",2016,6,12276.176,"China","Cambodia","Export",3216409,3216408.955,"Kg"
"CHN","3923","LAO",2015,5,4.178,"China","Lao PDR","Import",780,780,"Kg"
"CHN","3923","LAO",2015,6,1656.452,"China","Lao PDR","Export",1598753,1598753,"Kg"
"CHN","3923","LAO",2016,6,2077.507,"China","Lao PDR","Export",537022,537021.569,"Kg"
"CHN","3923","MMR",2015,5,3.147,"China","Myanmar","Import",444,444,"Kg"
"CHN","3923","MMR",2015,6,19759.704,"China","Myanmar","Export",5133335,5133335,"Kg"
"CHN","3923","MMR",2016,5,0.002,"China","Myanmar","Import",0,0.357,"Kg"
