"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","tradecircum17","ASEAN",2017,5,72961044.074,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","tradecircum17","ASEAN",2017,6,54048243.903,"China","Asia Tenggara --- ASEAN  ","Export",,,""
"CHN","tradecircum17","ASEAN",2018,5,85740179.936,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","tradecircum17","ASEAN",2018,6,63280405.182,"China","Asia Tenggara --- ASEAN  ","Export",,,""
"CHN","tradecircum17","ASEAN",2019,5,92656309.079,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","tradecircum17","ASEAN",2019,6,74866231.413,"China","Asia Tenggara --- ASEAN  ","Export",,,""
"CHN","tradecircum17","ASEAN",2020,5,104969595.001,"China","Asia Tenggara --- ASEAN  ","Import",,,""
"CHN","tradecircum17","ASEAN",2020,6,85456252.207,"China","Asia Tenggara --- ASEAN  ","Export",,,""
"CHN","tradecircum17","USA",2017,5,12756178.704,"China","United States","Import",,,""
"CHN","tradecircum17","USA",2017,6,134948447.01,"China","United States","Export",,,""
"CHN","tradecircum17","USA",2018,5,14718372.615,"China","United States","Import",,,""
"CHN","tradecircum17","USA",2018,6,149281399.891,"China","United States","Export",,,""
"CHN","tradecircum17","USA",2019,5,15553944.002,"China","United States","Import",,,""
"CHN","tradecircum17","USA",2019,6,131660906.073,"China","United States","Export",,,""
"CHN","tradecircum17","USA",2020,5,15940964.397,"China","United States","Import",,,""
"CHN","tradecircum17","USA",2020,6,137885882.474,"China","United States","Export",,,""
"CHN","tradecircum17","WLD",2017,4,66734110.299,"China"," World","Re-Import",,,""
"CHN","tradecircum17","WLD",2017,5,293386547.639,"China"," World","Import",,,""
"CHN","tradecircum17","WLD",2017,6,589406188.422,"China"," World","Export",,,""
"CHN","tradecircum17","WLD",2018,4,76302144.25,"China"," World","Re-Import",,,""
"CHN","tradecircum17","WLD",2018,5,344622471.625,"China"," World","Import",,,""
"CHN","tradecircum17","WLD",2018,6,651054557.313,"China"," World","Export",0,0,"N.Q."
"CHN","tradecircum17","WLD",2019,4,68786692.634,"China"," World","Re-Import",,,""
"CHN","tradecircum17","WLD",2019,5,337854971.116,"China"," World","Import",,,""
"CHN","tradecircum17","WLD",2019,6,648121357.344,"China"," World","Export",,,""
"CHN","tradecircum17","WLD",2020,4,66545726.608,"China"," World","Re-Import",,,""
"CHN","tradecircum17","WLD",2020,5,389676732.111,"China"," World","Import",,,""
"CHN","tradecircum17","WLD",2020,6,691668483.219,"China"," World","Export",,,""
